source,created_at_local,pick_up_latitude,pick_up_longitude,drop_off_latitude,drop_off_longitude,city,fare,pick_up_distance,state
IOS,50:56.0,14.58714,121.06369,14.56947,121.10981,Metro Manila,251.25,1.68353,COMPLETED
IOS,41:27.0,14.5761,121.03046,14.55851,121.01916,Metro Manila,190,1.66895,CANCELLED
IOS,06:08.0,14.55324,121.04644,14.63134,121.05222,Metro Manila,303.75,0.323552,COMPLETED
ADR,43:40.0,14.639479,121.061493,14.557872,121.018431,Metro Manila,369.375,1.80247,COMPLETED
VNU,27:10.0,14.549732,121.02677,14.554729,121.024445,Metro Manila,150.625,1.30215,COMPLETED
IOS,34:13.0,14.55535,121.01982,14.46539,121.01863,Metro Manila,378.125,1.48517,COMPLETED
VNU,36:24.0,14.549732,121.02677,14.549547,121.056075,Metro Manila,203.125,0.0587888,COMPLETED
VNU,11:18.0,14.549732,121.02677,14.554729,121.024445,Metro Manila,150.625,0.352421,COMPLETED
VNU,55:25.0,14.549732,121.02677,14.479309,121.019822,Metro Manila,255.625,0.0337978,COMPLETED
IOS,51:59.0,14.49217,121.04259,14.58388,121.05693,Metro Manila,290.625,0.46062,COMPLETED
VNU,00:10.0,14.549732,121.02677,14.599512,120.984219,Metro Manila,242.5,1.4912,COMPLETED
IOS,23:40.0,14.55477,121.024,14.55937,121.01455,Metro Manila,0,,UNALLOCATED
IOS,22:40.0,14.55348,121.01484,14.58232,121.07292,Metro Manila,0,,UNALLOCATED
IOS,01:35.0,14.60341,121.09271,14.54976,121.05273,Metro Manila,0,,UNALLOCATED
IOS,55:50.0,14.55191,121.04551,14.58584,121.05929,Metro Manila,0,,UNALLOCATED
IOS,40:13.0,14.56014,121.01682,14.57325,120.99948,Metro Manila,0,,UNALLOCATED
IOS,53:36.0,14.60912,121.09202,14.60769,121.0786,Metro Manila,0,,UNALLOCATED
ADR,33:08.0,14.58736,120.972865,14.558616,121.005979,Metro Manila,0,,UNALLOCATED
IOS,17:04.0,14.58244,121.05195,14.5308,121.07274,Metro Manila,0,,UNALLOCATED
ADR,58:48.0,14.486955,121.043109,14.468986,121.056041,Metro Manila,0,,UNALLOCATED
IOS,23:17.0,14.57794,121.04229,14.55633,121.02124,Metro Manila,0,,UNALLOCATED
IOS,30:51.0,14.59853,121.03762,14.5637,120.99517,Metro Manila,0,,UNALLOCATED
ADR,10:57.0,14.558493,121.056913,14.484117,120.992024,Metro Manila,0,,UNALLOCATED
IOS,29:14.0,14.57417,121.02119,14.55472,121.01446,Metro Manila,0,,UNALLOCATED
IOS,41:47.0,14.58398,121.06323,14.58906,121.06999,Metro Manila,0,,UNALLOCATED
IOS,19:22.0,14.55358,121.04811,14.62303,120.99956,Metro Manila,0,,UNALLOCATED
ADR,50:05.0,14.551284,121.016912,14.543135,121.011761,Metro Manila,0,,UNALLOCATED
IOS,20:39.0,14.59951,120.98422,14.55921,121.0176,Metro Manila,0,,UNALLOCATED
ADR,15:46.0,14.615011,121.095273,14.552007,121.051264,Metro Manila,0,,UNALLOCATED
ADR,28:03.0,14.549913,121.025798,14.543135,121.011761,Metro Manila,0,,UNALLOCATED
ADR,57:39.0,14.583209,121.056804,14.554729,121.024445,Metro Manila,0,,UNALLOCATED
IOS,33:33.0,14.41797,121.04397,14.56435,121.02933,Metro Manila,0,,UNALLOCATED
IOS,19:33.0,14.61342,121.05701,14.6099,121.0809,Metro Manila,0,,UNALLOCATED
IOS,44:29.0,14.56345,121.03837,14.55485,121.02545,Metro Manila,0,,UNALLOCATED
